username,name,email,subject_id,password
guru085,Guru 1 b.indonesia SMPN 15 Tasikmalaya,guru085@gmail.com,21,guru
guru086,Guru 1 b.inggris SMPN 15 Tasikmalaya,guru086@gmail.com,22,guru
guru087,Guru 1 matematika SMPN 15 Tasikmalaya,guru087@gmail.com,51,guru
guru088,Guru 1 penjas SMPN 15 Tasikmalaya,guru088@gmail.com,91,guru
guru089,Guru 1 b.indonesia SMPN 16 Tasikmalaya,guru089@gmail.com,21,guru
guru090,Guru 1 b.inggris SMPN 16 Tasikmalaya,guru090@gmail.com,22,guru
guru091,Guru 1 matematika SMPN 16 Tasikmalaya,guru091@gmail.com,51,guru
guru092,Guru 1 penjas SMPN 16 Tasikmalaya,guru092@gmail.com,91,guru
guru093,Guru 2 penjas SMPN 16 Tasikmalaya,guru093@gmail.com,91,guru
guru094,Guru 1 b.indonesia SMPN 17 Tasikmalaya,guru094@gmail.com,21,guru
guru095,Guru 1 b.inggris SMPN 17 Tasikmalaya,guru095@gmail.com,22,guru
guru096,Guru 1 matematika SMPN 17 Tasikmalaya,guru096@gmail.com,51,guru
guru097,Guru 1 penjas SMPN 17 Tasikmalaya,guru097@gmail.com,91,guru
guru098,Guru 2 penjas SMPN 17 Tasikmalaya,guru098@gmail.com,91,guru
guru099,Guru 1 b.indonesia SMPN 18 Tasikmalaya,guru099@gmail.com,21,guru
guru100,Guru 1 b.inggris SMPN 18 Tasikmalaya,guru100@gmail.com,22,guru
guru101,Guru 1 matematika SMPN 18 Tasikmalaya,guru101@gmail.com,51,guru
guru102,Guru 1 penjas SMPN 18 Tasikmalaya,guru102@gmail.com,91,guru
guru103,Guru 1 b.indonesia SMPN 19 Tasikmalaya,guru103@gmail.com,21,guru
guru104,Guru 1 b.inggris SMPN 19 Tasikmalaya,guru104@gmail.com,22,guru
guru105,Guru 1 matematika SMPN 19 Tasikmalaya,guru105@gmail.com,51,guru
guru106,Guru 1 penjas SMPN 19 Tasikmalaya,guru106@gmail.com,91,guru
guru107,Guru 1 b.indonesia SMPN 20 Tasikmalaya,guru107@gmail.com,21,guru
guru108,Guru 1 b.inggris SMPN 20 Tasikmalaya,guru108@gmail.com,22,guru
guru109,Guru 1 matematika SMPN 20 Tasikmalaya,guru109@gmail.com,51,guru
guru110,Guru 1 b.indonesia SMPN 21 Tasikmalaya,guru110@gmail.com,21,guru
guru111,Guru 1 b.inggris SMPN 21 Tasikmalaya,guru111@gmail.com,22,guru
guru112,Guru 1 matematika SMPN 21 Tasikmalaya,guru112@gmail.com,51,guru
guru113,Guru 1 penjas SMPN 21 Tasikmalaya,guru113@gmail.com,91,guru
guru114,Guru 1 fisika SMAN 1 Tasikmalaya,guru114@gmail.com,53,guru
guru115,Guru 1 biologi SMAN 1 Tasikmalaya,guru115@gmail.com,54,guru
guru116,Guru 1 ekonomi SMAN 1 Tasikmalaya,guru116@gmail.com,65,guru
guru117,Guru 1 geografi SMAN 1 Tasikmalaya,guru117@gmail.com,70,guru
guru118,Guru 1 sejarah SMAN 1 Tasikmalaya,guru118@gmail.com,71,guru
guru119,Guru 1 penjas SMAN 1 Tasikmalaya,guru119@gmail.com,91,guru
guru120,Guru 1 fisika SMAN 2 Tasikmalaya,guru120@gmail.com,53,guru
guru121,Guru 1 biologi SMAN 2 Tasikmalaya,guru121@gmail.com,54,guru
guru122,Guru 1 ekonomi SMAN 2 Tasikmalaya,guru122@gmail.com,65,guru
guru123,Guru 1 geografi SMAN 2 Tasikmalaya,guru123@gmail.com,70,guru
guru124,Guru 1 sejarah SMAN 2 Tasikmalaya,guru124@gmail.com,71,guru
guru125,Guru 1 penjas SMAN 2 Tasikmalaya,guru125@gmail.com,91,guru
guru126,Guru 1 fisika SMAN 3 Tasikmalaya,guru126@gmail.com,53,guru
guru127,Guru 1 biologi SMAN 3 Tasikmalaya,guru127@gmail.com,54,guru
guru128,Guru 1 geografi SMAN 3 Tasikmalaya,guru128@gmail.com,70,guru
guru129,Guru 2 geografi SMAN 3 Tasikmalaya,guru129@gmail.com,70,guru
guru130,Guru 1 sejarah SMAN 3 Tasikmalaya,guru130@gmail.com,71,guru
guru131,Guru 1 penjas SMAN 3 Tasikmalaya,guru131@gmail.com,91,guru
guru132,Guru 1 fisika SMAN 4 Tasikmalaya,guru132@gmail.com,53,guru
guru133,Guru 1 biologi SMAN 4 Tasikmalaya,guru133@gmail.com,54,guru
guru134,Guru 1 ekonomi SMAN 4 Tasikmalaya,guru134@gmail.com,65,guru
guru135,Guru 1 geografi SMAN 4 Tasikmalaya,guru135@gmail.com,70,guru
guru136,Guru 1 sejarah SMAN 4 Tasikmalaya,guru136@gmail.com,71,guru
guru137,Guru 1 penjas SMAN 4 Tasikmalaya,guru137@gmail.com,91,guru
guru138,Guru 1 fisika SMAN 5 Tasikmalaya,guru138@gmail.com,53,guru
guru139,Guru 1 biologi SMAN 5 Tasikmalaya,guru139@gmail.com,54,guru
guru140,Guru 1 ekonomi SMAN 5 Tasikmalaya,guru140@gmail.com,65,guru
guru141,Guru 2 ekonomi SMAN 5 Tasikmalaya,guru141@gmail.com,65,guru
guru142,Guru 1 geografi SMAN 5 Tasikmalaya,guru142@gmail.com,70,guru
guru143,Guru 1 sejarah SMAN 5 Tasikmalaya,guru143@gmail.com,71,guru
guru144,Guru 1 penjas SMAN 5 Tasikmalaya,guru144@gmail.com,91,guru
guru145,Guru 1 fisika SMAN 6 Tasikmalaya,guru145@gmail.com,53,guru
guru146,Guru 1 biologi SMAN 6 Tasikmalaya,guru146@gmail.com,54,guru
guru147,Guru 1 ekonomi SMAN 6 Tasikmalaya,guru147@gmail.com,65,guru
guru148,Guru 1 geografi SMAN 6 Tasikmalaya,guru148@gmail.com,70,guru
guru149,Guru 1 sejarah SMAN 6 Tasikmalaya,guru149@gmail.com,71,guru
guru150,Guru 1 penjas SMAN 6 Tasikmalaya,guru150@gmail.com,91,guru
guru151,Guru 1 fisika SMAN 7 Tasikmalaya,guru151@gmail.com,53,guru
guru152,Guru 1 biologi SMAN 7 Tasikmalaya,guru152@gmail.com,54,guru
guru153,Guru 1 ekonomi SMAN 7 Tasikmalaya,guru153@gmail.com,65,guru
guru154,Guru 2 ekonomi SMAN 7 Tasikmalaya,guru154@gmail.com,65,guru
guru155,Guru 1 geografi SMAN 7 Tasikmalaya,guru155@gmail.com,70,guru
guru156,Guru 1 sejarah SMAN 7 Tasikmalaya,guru156@gmail.com,71,guru
guru157,Guru 1 penjas SMAN 7 Tasikmalaya,guru157@gmail.com,91,guru
guru158,Guru 1 fisika SMAN 8 Tasikmalaya,guru158@gmail.com,53,guru
guru159,Guru 1 biologi SMAN 8 Tasikmalaya,guru159@gmail.com,54,guru
guru160,Guru 1 ekonomi SMAN 8 Tasikmalaya,guru160@gmail.com,65,guru
guru161,Guru 2 ekonomi SMAN 8 Tasikmalaya,guru161@gmail.com,65,guru
guru162,Guru 1 geografi SMAN 8 Tasikmalaya,guru162@gmail.com,70,guru
guru163,Guru 1 sejarah SMAN 8 Tasikmalaya,guru163@gmail.com,71,guru
guru164,Guru 1 penjas SMAN 8 Tasikmalaya,guru164@gmail.com,91,guru
guru165,Guru 1 fisika SMAN 9 Tasikmalaya,guru165@gmail.com,53,guru
guru166,Guru 1 biologi SMAN 9 Tasikmalaya,guru166@gmail.com,54,guru
guru167,Guru 1 ekonomi SMAN 9 Tasikmalaya,guru167@gmail.com,65,guru
guru168,Guru 1 geografi SMAN 9 Tasikmalaya,guru168@gmail.com,70,guru
guru169,Guru 1 sejarah SMAN 9 Tasikmalaya,guru169@gmail.com,71,guru
guru170,Guru 1 penjas SMAN 9 Tasikmalaya,guru170@gmail.com,91,guru
guru171,Guru 1 fisika SMAN 10 Tasikmalaya,guru171@gmail.com,53,guru
guru172,Guru 1 biologi SMAN 10 Tasikmalaya,guru172@gmail.com,54,guru
guru173,Guru 1 ekonomi SMAN 10 Tasikmalaya,guru173@gmail.com,65,guru
guru174,Guru 2 ekonomi SMAN 10 Tasikmalaya,guru174@gmail.com,65,guru
guru175,Guru 1 geografi SMAN 10 Tasikmalaya,guru175@gmail.com,70,guru
guru176,Guru 1 sejarah SMAN 10 Tasikmalaya,guru176@gmail.com,71,guru
guru177,Guru 1 penjas SMAN 10 Tasikmalaya,guru177@gmail.com,91,guru
guru178,Guru 1 fisika SMAN 1 Manonjaya,guru178@gmail.com,53,guru
guru179,Guru 1 biologi SMAN 1 Manonjaya,guru179@gmail.com,54,guru
guru180,Guru 2 biologi SMAN 1 Manonjaya,guru180@gmail.com,54,guru
guru181,Guru 1 ekonomi SMAN 1 Manonjaya,guru181@gmail.com,65,guru
guru182,Guru 1 geografi SMAN 1 Manonjaya,guru182@gmail.com,70,guru
guru183,Guru 1 sejarah SMAN 1 Manonjaya,guru183@gmail.com,71,guru
guru184,Guru 1 fisika SMAN 1 Singaparna,guru184@gmail.com,53,guru
guru185,Guru 1 biologi SMAN 1 Singaparna,guru185@gmail.com,54,guru
guru186,Guru 1 ekonomi SMAN 1 Singaparna,guru186@gmail.com,65,guru
guru187,Guru 1 geografi SMAN 1 Singaparna,guru187@gmail.com,70,guru
guru188,Guru 1 sejarah SMAN 1 Singaparna,guru188@gmail.com,71,guru
guru189,Guru 1 penjas SMAN 1 Singaparna,guru189@gmail.com,91,guru
guru190,Guru 1 fisika SMAN 2 Singaparna,guru190@gmail.com,53,guru
guru191,Guru 1 biologi SMAN 2 Singaparna,guru191@gmail.com,54,guru
guru192,Guru 1 ekonomi SMAN 2 Singaparna,guru192@gmail.com,65,guru
guru193,Guru 1 sejarah SMAN 2 Singaparna,guru193@gmail.com,71,guru
guru194,Guru 1 penjas SMAN 2 Singaparna,guru194@gmail.com,91,guru
guru195,Guru 1 fisika SMAN 1 Ciamis,guru195@gmail.com,53,guru
guru196,Guru 1 biologi SMAN 1 Ciamis,guru196@gmail.com,54,guru
guru197,Guru 1 ekonomi SMAN 1 Ciamis,guru197@gmail.com,65,guru
guru198,Guru 1 geografi SMAN 1 Ciamis,guru198@gmail.com,70,guru
guru199,Guru 1 sejarah SMAN 1 Ciamis,guru199@gmail.com,71,guru
guru200,Guru 1 penjas SMAN 1 Ciamis,guru200@gmail.com,91,guru
guru201,Guru 1 fisika SMAN 2 Ciamis,guru201@gmail.com,53,guru
guru202,Guru 1 biologi SMAN 2 Ciamis,guru202@gmail.com,54,guru
guru203,Guru 2 biologi SMAN 2 Ciamis,guru203@gmail.com,54,guru
guru204,Guru 1 ekonomi SMAN 2 Ciamis,guru204@gmail.com,65,guru
guru205,Guru 1 geografi SMAN 2 Ciamis,guru205@gmail.com,70,guru
guru206,Guru 1 sejarah SMAN 2 Ciamis,guru206@gmail.com,71,guru
guru207,Guru 1 penjas SMAN 2 Ciamis,guru207@gmail.com,91,guru
guru208,Guru 1 fisika SMAN 3 Ciamis,guru208@gmail.com,53,guru
guru209,Guru 1 biologi SMAN 3 Ciamis,guru209@gmail.com,54,guru
guru210,Guru 1 ekonomi SMAN 3 Ciamis,guru210@gmail.com,65,guru
guru211,Guru 1 geografi SMAN 3 Ciamis,guru211@gmail.com,70,guru
guru212,Guru 1 sejarah SMAN 3 Ciamis,guru212@gmail.com,71,guru
guru213,Guru 1 fisika SMAN 1 Baregbeg,guru213@gmail.com,53,guru
guru214,Guru 1 biologi SMAN 1 Baregbeg,guru214@gmail.com,54,guru
guru215,Guru 1 ekonomi SMAN 1 Baregbeg,guru215@gmail.com,65,guru
guru216,Guru 1 geografi SMAN 1 Baregbeg,guru216@gmail.com,70,guru
guru217,Guru 1 fisika SMAN 1 Cihaurbeuti,guru217@gmail.com,53,guru
guru218,Guru 1 biologi SMAN 1 Cihaurbeuti,guru218@gmail.com,54,guru
guru219,Guru 2 biologi SMAN 1 Cihaurbeuti,guru219@gmail.com,54,guru
guru220,Guru 1 ekonomi SMAN 1 Cihaurbeuti,guru220@gmail.com,65,guru
guru221,Guru 2 ekonomi SMAN 1 Cihaurbeuti,guru221@gmail.com,65,guru
guru222,Guru 1 geografi SMAN 1 Cihaurbeuti,guru222@gmail.com,70,guru
guru223,Guru 2 geografi SMAN 1 Cihaurbeuti,guru223@gmail.com,70,guru
guru224,Guru 1 fisika SMAN 1 Jatiwaras,guru224@gmail.com,53,guru
guru225,Guru 1 biologi SMAN 1 Jatiwaras,guru225@gmail.com,54,guru
guru226,Guru 2 biologi SMAN 1 Jatiwaras,guru226@gmail.com,54,guru
guru227,Guru 1 ekonomi SMAN 1 Jatiwaras,guru227@gmail.com,65,guru
guru228,Guru 1 geografi SMAN 1 Jatiwaras,guru228@gmail.com,70,guru
